dataset,model,rep,auroc,auprc,logloss,brier
demo,LR,1,0.4160337552742616,0.06165079334230875,0.34791864281037094,0.06995291793890886
full,LR,1,0.4938619949300139,0.02646445767555607,0.1213997240520308,0.024924749281020116
demo,LR,2,0.6112517580872011,0.11152713004514207,0.26873076683012953,0.06394948275965211
full,LR,2,0.49883529547304056,0.025512666729140203,0.12124682147991384,0.02495152585922813
demo,LR,3,0.46019690576652605,0.08148161925748783,0.38763334598103477,0.07059676532382986
full,LR,3,0.4866927113759594,0.024964535498355374,0.12193939378365838,0.025029271248605715
demo,LR,4,0.5398030942334738,0.07682145200801187,0.32719080264847633,0.06876931410782766
full,LR,4,0.4691892703885374,0.02402500173832868,0.12212512772952518,0.024983226179519997
demo,LR,5,0.4644163150492264,0.07747298151343154,0.2894883456502766,0.060799115158193986
full,LR,5,0.5143298145225342,0.026746572032124803,0.12088510496009383,0.02492945943089143
demo,LR,6,0.5414908579465542,0.07541871421098915,0.3427830738806717,0.07885745837358218
full,LR,6,0.5100522427584566,0.025734845548958597,0.12118123143742099,0.024931622041014418
demo,LR,7,0.5921237693389592,0.08400763370974368,0.3144867857634534,0.07589935248185554
full,LR,7,0.5291058073608838,0.026845739745653432,0.1206521205009723,0.02493232964302081
demo,LR,8,0.660196905766526,0.12281742092930563,0.28629343589620226,0.06836932866883455
full,LR,8,0.4878459154125704,0.024119903040228985,0.12143886454139548,0.025015246843409368
demo,LR,9,0.37496483825597743,0.05504466620622159,0.35192123633903827,0.07104484971052302
full,LR,9,0.5267930892841077,0.02677941085528622,0.12102935430339448,0.024994783694298053
demo,LR,10,0.6846694796061885,0.22471465363124885,0.26437900376304285,0.0652720686685087
full,LR,10,0.45914211634262425,0.02302125048546162,0.12255884598293924,0.025009040072207455
demo,RF,1,0.6213783403656822,0.1351998277830597,0.22606825240085202,0.05589007999546556
full,RF,1,0.5000679851995813,0.024882176979973747,0.1243395819367289,0.0251905636114454
demo,RF,2,0.5054852320675105,0.061090212324957906,0.2419647487824387,0.05885947935844422
full,RF,2,0.529777110319624,0.029618986190149642,0.12311431128186656,0.025126249259931895
demo,RF,3,0.2967651195499297,0.042223211494691895,0.2718110202352953,0.06118932925573207
full,RF,3,0.5068476769213045,0.025909909858121263,0.12473322002102023,0.025190188525636596
demo,RF,4,0.510548523206751,0.12902826887137575,0.23543685972374773,0.05711661910724425
full,RF,4,0.5119477881809156,0.025704703598885763,0.12421129628743068,0.025183126060782518
demo,RF,5,0.3724331926863573,0.05224374813520138,0.2621452479291942,0.0600414109385508
full,RF,5,0.5081923183238025,0.026526310316023656,0.12448441241168151,0.025179191529084655
demo,RF,6,0.5282700421940929,0.09883222031462532,0.23506765345996006,0.057598180452805
full,RF,6,0.5490188555119102,0.030955364843941572,0.12241052708796478,0.025065125661736583
demo,RF,7,0.5814345991561181,0.08133492742124958,0.2294084931716455,0.05680288661741601
full,RF,7,0.5020136035534682,0.026405329654355318,0.12460382340057519,0.02516376258021778
demo,RF,8,0.4511954992967651,0.06227073337090111,0.25524884408945464,0.05850793476767116
full,RF,8,0.513958847378112,0.0278598704820103,0.123526232722278,0.025155438312613243
demo,RF,9,0.5909985935302391,0.09979646366668823,0.23180053806977705,0.056614215751479756
full,RF,9,0.4959524380428893,0.026088101352923353,0.12385169761943177,0.025168097042351487
demo,RF,10,0.39465541490857947,0.07262912281224664,0.25573069077511984,0.058808697561555275
full,RF,10,0.5027808796307793,0.0252752151310598,0.12372460194037897,0.02518072325313109
demo,HGB,1,0.5097046413502109,0.0837523153165749,0.7959863297971125,0.0724983607255659
full,HGB,1,0.4648371998728229,0.02333049418842817,0.11983347289962626,0.02486224331198965
demo,HGB,2,0.4531645569620253,0.05387477903275869,0.8168279755135734,0.06630613175513947
full,HGB,2,0.5208065242994167,0.028051651031865653,0.11890097522929666,0.02481900256343237
demo,HGB,3,0.3679324894514768,0.04721628410049851,0.9352611286781675,0.07808472224346763
full,HGB,3,0.47991719239852193,0.026011209371581582,0.11929382722373494,0.024827513764870832
demo,HGB,4,0.36933895921237697,0.05746297675031012,0.8837012781300536,0.06949510262330166
full,HGB,4,0.5318377335769945,0.027530428253304658,0.11985850585099184,0.02491643529225016
demo,HGB,5,0.3490857946554149,0.045193134435093665,1.0348228481132835,0.08876497776045293
full,HGB,5,0.5010351459056016,0.02571931898515307,0.1191262463414175,0.024823567588180138
demo,HGB,6,0.49085794655414905,0.10451570530434254,0.7465890948245678,0.06836287219079323
full,HGB,6,0.4932887005748617,0.025199397347174152,0.11927163207408034,0.024828531497780585
demo,HGB,7,0.5291139240506328,0.06612924284003022,0.7635842043149869,0.06009821674148925
full,HGB,7,0.510869489992945,0.02587403543939881,0.11939467212274603,0.02485510850322497
demo,HGB,8,0.480168776371308,0.07666378180491232,0.803848053474589,0.06369153172436645
full,HGB,8,0.5092174903528187,0.027600712482190426,0.11919175964310012,0.024838693962663583
demo,HGB,9,0.5085794655414908,0.0628040916136854,0.8087094568188241,0.0649187454890638
full,HGB,9,0.5018835360608561,0.0243144890650576,0.11969200695067546,0.02487680896939132
demo,HGB,10,0.4632911392405063,0.07263181125674939,0.7871040348142543,0.062410239712099594
full,HGB,10,0.47958846156821094,0.024146563841479653,0.12000164663161281,0.024877425859665115
