dataset,model,setting,auroc,auprc,logloss,brier
demo,LR,stratified_cv_all,0.9845288326300985,0.8286245561682842,0.08417212676120615,0.025539609181083844
full,LR,stratified_cv_all,0.9976021986494965,0.985618083127832,0.0054482709889624135,0.0008306868706867776
demo,LR,group_holdout_all,0.950354609929078,0.6666666666666666,0.1539498542074787,0.04601851954858893
full,LR,group_holdout_all,0.995082380439515,0.9872489865691038,0.00829693452330743,0.001659172833480478
demo,LR,stratified_cv_demographics_only,0.7244725738396625,0.1265895771250696,0.2108444198786463,0.0556029112800638
full,LR,stratified_cv_demographics_only,0.7471790213143779,0.08386085882615166,0.10780038500793222,0.024112704994626786
demo,LR,stratified_cv_admission_meta_only,0.6195499296765119,0.12120941898668051,0.22260569225974094,0.055368030142137765
full,LR,stratified_cv_admission_meta_only,0.7342826971153513,0.061860606135582925,0.1081648422055703,0.024262852172072805
demo,LR,stratified_cv_labs_only,0.6585091420534458,0.3043378964058614,0.24627684351893395,0.055118255427150556
full,LR,stratified_cv_labs_only,0.8669540839360744,0.40408465407396726,0.08203343284746499,0.019008104080001177
demo,LR,stratified_cv_demographics_plus_admit,0.7116736990154712,0.12353279859423413,0.21730159286394346,0.05745359411417725
full,LR,stratified_cv_demographics_plus_admit,0.807522399494874,0.10986670908314267,0.10163020814942146,0.023721043451171417
demo,LR,stratified_cv_admit_plus_labs,0.6767932489451476,0.3474495311833317,0.2455578153336338,0.05476901348964864
full,LR,stratified_cv_admit_plus_labs,0.9022759572173616,0.4277445258588265,0.07716853102873303,0.01852640465097079
demo,LR,stratified_cv_all_features,0.7684950773558369,0.41548792257992756,0.22098874199101795,0.052155664447108875
full,LR,stratified_cv_all_features,0.9159668329929324,0.46557706426501355,0.07314335371310768,0.017632688010996836
demo,LR,early_labs_keep_0.25,0.9583684950773559,0.505221145933807,0.14019558517639488,0.039246833772880574
full,LR,early_labs_keep_0.25,0.9942988100147491,0.9774934881855571,0.006211318618767694,0.0008835029069573986
demo,LR,early_labs_keep_0.5,0.9263009845288327,0.5709350298823982,0.14302176060715746,0.041964152450527925
full,LR,early_labs_keep_0.5,0.995681311438571,0.9825928662800943,0.0059117102658040165,0.0008678249507346701
demo,LR,early_labs_keep_0.75,0.969620253164557,0.8058282458282457,0.09638137744874777,0.02772349801984079
full,LR,early_labs_keep_0.75,0.9961221974933409,0.9847415443487548,0.005656608778210306,0.0008594207844121116
demo,RF,stratified_cv_all,1.0,1.0,0.09294670356151348,0.024457301387587924
full,RF,stratified_cv_all,0.9985091089990015,0.9823075373732837,0.016302671236793794,0.0025192645302665206
demo,RF,group_holdout_all,1.0,1.0,0.1065758616118246,0.027025139873954426
full,RF,group_holdout_all,0.999500446848003,0.9886237288847238,0.018527925477136165,0.0032048140875123323
demo,RF,stratified_cv_demographics_only,0.6687763713080168,0.10359777254744784,0.2373359961853156,0.05958005781803086
full,RF,stratified_cv_demographics_only,0.6900444834895704,0.06564023802327738,0.1236790663924045,0.025449602069664748
demo,RF,stratified_cv_admission_meta_only,0.5098452883263009,0.08261426151004278,0.2514411071131473,0.05812649942047721
full,RF,stratified_cv_admission_meta_only,0.731540288151401,0.062057684168881876,0.10946910542902648,0.024305964808680785
demo,RF,stratified_cv_labs_only,0.7974683544303798,0.49131025654908334,0.18555136887880183,0.04627979468783404
full,RF,stratified_cv_labs_only,0.9362016913252107,0.5412489463339917,0.06943500712747191,0.016850399860512545
demo,RF,stratified_cv_demographics_plus_admit,0.6970464135021097,0.1023387970834663,0.22444158834255917,0.05869724501212502
full,RF,stratified_cv_demographics_plus_admit,0.7799700742992741,0.09018094218189145,0.10696538925865337,0.024245378071332736
demo,RF,stratified_cv_admit_plus_labs,0.8052039381153305,0.4551771141767913,0.1826668130778999,0.046738958041007084
full,RF,stratified_cv_admit_plus_labs,0.9388441579748065,0.5474318166684116,0.0675325964612075,0.016918524079114625
demo,RF,stratified_cv_all_features,0.8149085794655414,0.5003798993390507,0.17626345020938822,0.04567213331431743
full,RF,stratified_cv_all_features,0.9469630970637314,0.5632525244062118,0.06841900277807113,0.0169522729524137
demo,RF,early_labs_keep_0.25,1.0,1.0,0.08837433709480667,0.022864312041507046
full,RF,early_labs_keep_0.25,0.9957820679469324,0.9841243481813143,0.012082697454962406,0.0014571968886823686
demo,RF,early_labs_keep_0.5,1.0,1.0,0.09412984737179617,0.025067500284758362
full,RF,early_labs_keep_0.5,0.9961649426787065,0.978325534057548,0.016322116049967736,0.00192326705979118
demo,RF,early_labs_keep_0.75,1.0,1.0,0.08918797721413602,0.022683947404789538
full,RF,early_labs_keep_0.75,0.9972082305243775,0.9834804951531937,0.015559578322604514,0.0022345700498165692
demo,HGB,stratified_cv_all,0.9386779184247539,0.5684902996979435,0.2909973835449945,0.043100810030550135
full,HGB,stratified_cv_all,0.9910428481809073,0.9692691320671822,0.008459413063795142,0.0008176710278571978
demo,HGB,group_holdout_all,0.8085106382978723,0.27350427350427353,0.6127991555666817,0.05996597441166261
full,HGB,group_holdout_all,0.9880703040857949,0.9752440121244196,0.008237154790638754,0.0014603681586743936
