env,model,auroc,auprc,logloss,brier,ece
demo,LR,0.6264640709085153,0.5774891509790409,0.7906986559123788,0.2622415425822539,0.15214112801061846
demo,RF,0.7458689458689457,0.6976283321043607,0.6057703052900693,0.20750296606380358,0.1138654201517399
demo,ET,0.6395694840139284,0.5742251932901917,0.6665547236537758,0.23616499034587377,0.0932354559979159
demo,HGB,0.7366888255777145,0.7271890989903957,0.9455549604867193,0.23968215984491936,0.1961422658259356
demo,MLP,0.514846470402026,0.5008410617115406,2.573899353348503,0.42707574134205467,0.4220159735532741
full,LR,0.9981530008952064,0.9793392628826361,0.011198790856254163,0.0017529306336475385,0.005198627112274671
full,RF,0.9981582931562515,0.9816370857289048,0.017750428076536567,0.0030886883804099948,0.013633710298448095
full,ET,0.9978442178180659,0.9766660600545769,0.01370744707402169,0.001436753574323479,0.010337387408405214
full,HGB,0.9947533338191357,0.9809029367463477,0.007039015562410356,0.0009574872622356399,0.0009467793296210737
full,MLP,0.9974595111497764,0.9778914911113337,0.009082685228285467,0.0012571731188094635,0.004309234497801123
