env,model,auroc,auprc,logloss,brier,ece
synthetic,LR,0.9786876617711736,0.9984093718141666,0.17399487404381167,0.05608137009825659,0.08481685072607355
synthetic,RF,0.9723357774749638,0.9976751887731168,0.09250585943955711,0.024690252530359506,0.019610573572181184
synthetic,ET,0.9769861354443795,0.998294456471134,0.13210919058040485,0.031076517271253337,0.06817088331060471
synthetic,HGB,0.950872032242482,0.9957590723998312,0.22950427482659327,0.02747867579258758,0.02814141369718273
synthetic,MLP,0.5778700639514344,0.9443143795504295,0.3976944308153267,0.06564321159407213,0.06359356221602153
nhanes,LR,0.9214434546636572,0.7975384317072505,0.38489619369541617,0.11138832399216494,0.11772936225527944
nhanes,RF,0.891664657886471,0.7475643115679359,0.35985198742943736,0.11072881705449365,0.051103742203657716
nhanes,ET,0.8709678302982491,0.7058796068898817,0.43035733358084916,0.13461917366414083,0.11699970990311467
nhanes,HGB,0.9604229212777303,0.9034452651417744,0.2267395603882654,0.0665073426396485,0.03228089227875886
nhanes,MLP,0.873388866974923,0.7337594090147836,0.37239361340901184,0.11589532260572238,0.023578744308519403
