env,model,fold,auroc,auprc,logloss,brier,ece
synthetic,ET,24.5,0.9997444122807018,0.9992453261847417,0.029786837051008135,0.0072269464067402246,0.020935742422463523
synthetic,HGB,24.5,0.9999964755639098,0.999989834726677,0.008674189713761991,0.001019271124262324,0.00773517417838474
synthetic,LR,24.5,0.9993639417989418,0.9980915864958301,0.052169350950604675,0.013101428283545402,0.03305787715425275
synthetic,MLP,24.5,0.9949216148705097,0.9867575438854282,0.0920700860346761,0.02631971782706282,0.039978445782136
synthetic,RF,24.5,0.9999976503759399,0.9999931647300069,0.007581883266129333,0.0009190954735389664,0.005487481263394992
nhanes,ET,24.5,0.9977892576872261,0.9937263421251958,0.05466131702893588,0.015229655521087009,0.017514398643317854
nhanes,HGB,24.5,1.0,1.0,0.002193074127140063,6.328149483480228e-06,0.0021899024537079376
nhanes,LR,24.5,0.9997427255219401,0.9992390055659652,0.03560821987328151,0.009139490151641484,0.022555143496987017
nhanes,MLP,24.5,0.9979140202167622,0.994176079676869,0.05998675197999512,0.01584033880311174,0.024138728456843953
nhanes,RF,24.5,1.0,1.0,0.0022132154053612634,1.2387982915488881e-05,0.0022069201448231433
