env,model,fold,auroc,auprc,logloss,brier,ece
demo,LR,0,0.5015432098765432,0.5288969931924934,0.7011178960872823,0.2539171431030431,0.08911608351313609
demo,LR,1,0.5679012345679012,0.5576960229690089,0.6827661131225284,0.24490021106366172,0.050717742955659444
demo,LR,2,0.6022544283413849,0.634693800126672,0.6711199177761064,0.23907354372199804,0.0959916670103515
demo,LR,3,0.6731078904991947,0.7067702374693988,0.6737977655504049,0.24044721482186523,0.1507884193997282
demo,LR,4,0.6666666666666666,0.5566855294195119,0.6625474388838499,0.2350970587528769,0.22115284772392452
demo,LR,5,0.5061728395061729,0.5322975952198927,0.6938618481983699,0.2502873901515666,0.09400248810167264
demo,LR,6,0.5370370370370371,0.5388654028932398,0.6955110148205557,0.2509193744838895,0.05134685187675368
demo,LR,7,0.4685990338164251,0.5331465366543997,0.6888433938917461,0.24789256685587258,0.07821730746182107
demo,LR,8,0.6409017713365539,0.5860392877832936,0.6701440513982044,0.23866199585769832,0.12773814157031937
demo,LR,9,0.5652173913043478,0.5859303547899529,0.6884914762471489,0.24736006539264221,0.07371826312624068
demo,LR,10,0.5416666666666667,0.5854343102946883,0.690247304558332,0.24828021327756947,0.13426461475268062
demo,LR,11,0.5092592592592593,0.5093432637040614,0.7051056544239199,0.2554158882656503,0.07983806117916836
demo,LR,12,0.4959742351046699,0.4511265621202646,0.6934264233511983,0.25042115484354016,0.11051945114398096
demo,LR,13,0.48953301127214177,0.5074626802300221,0.6921570828987434,0.24952517862122317,0.06724530825393361
demo,LR,14,0.4669887278582931,0.4267118730341455,0.695687726248975,0.25124636910451875,0.023025550069628132
demo,LR,15,0.45524691358024694,0.46228369970687416,0.7212619499690749,0.2631773964397048,0.13917322852085734
demo,LR,16,0.6743827160493827,0.6967713430904601,0.6387511408798057,0.2237670782707423,0.10889055385163736
demo,LR,17,0.5942028985507246,0.5776590546904361,0.6817462187467009,0.2443496594380934,0.007867001137062433
demo,LR,18,0.48953301127214166,0.5509237329060552,0.7081717792387763,0.25719958354580524,0.16612543617445363
demo,LR,19,0.36714975845410625,0.40625775419440435,0.69507256892988,0.25099375506919763,0.0921109531260498
demo,LR,20,0.5601851851851851,0.5477506031132338,0.6856545896404821,0.24665660503177403,0.14902196300595025
demo,LR,21,0.6604938271604938,0.5983929649274823,0.668579012825835,0.23785508863454688,0.09455613460714214
