feature,auc_drop_mean,auc_drop_std,leaky_name_score
lab_50820,0.05090817140069653,0.006079168073663082,0.0
lab_51301,0.015562897409009093,0.004249849662796398,0.0
anchor_age,0.012821145784543997,0.00411501207726859,0.0
lab_50882,0.006246264955565145,0.001745186535948569,0.0
admission_type,0.0058616071616425435,0.002354701676324866,0.0
lab_51006,0.00575999612577913,0.0029288557450921305,0.0
lab_50931,0.004751969150233817,0.0027550572226726316,0.0
lab_51277,0.0036891427078241104,0.002113666879287291,0.0
lab_51265,0.0022648286166878297,0.0010222517738646723,0.0
admission_location,0.0020965518578616475,0.0011038113180292216,0.0
lab_50912,0.0018430806334315116,0.001078264201038542,0.0
lab_51274,0.0014356330168898244,0.0016503276036430254,0.0
lab_50970,0.0012227910060493242,0.0009318632874009341,0.0
race,0.0011326956317827437,0.0007654171262625212,0.0
lab_50983,0.0009886836243038284,0.0006505003676686517,0.0
lab_50960,0.0008593552502351083,0.000768374492068505,0.0
lab_50868,0.0007734641287172273,0.0007619597758061495,0.0
lab_50893,0.0006124864747142814,0.00107960197927874,0.0
lab_50902,0.0005614248786697696,0.000514327447310873,0.0
lab_52172,0.0005447117594224049,0.0009188904414210677,0.0
lab_51275,0.00033329084111981174,0.0008878138292735077,0.0
lab_51222,0.0002838864833009406,0.001023506189260114,0.0
lab_51221,0.000273906881170145,0.0006478030621784737,0.0
lab_51248,0.0001752883618812199,0.00034004869906216175,0.0
marital_status,0.00017365300989538997,0.0004214072769262496,0.0
insurance,0.00010343130722315484,0.00020832613824439168,0.0
lab_51250,2.5723170970646993e-05,0.0004596436703491199,0.0
gender,1.3227638579128929e-05,0.00011299143278604125,0.0
lab_51279,-0.00015388047603505982,0.0005053036968394008,0.0
lab_50971,-0.0001780712440330712,0.0005392939840667839,0.0
lab_51249,-0.000403311414581767,0.0007339395129853332,0.0
