n,rep,demo_auroc,full_auroc,delta
50,1,0.5,,
50,2,,0.48913043478260876,
50,3,0.5,,
50,4,0.48913043478260876,0.5,0.010869565217391242
50,5,0.4929078014184397,,
50,6,0.44986449864498645,0.5,0.050135501355013545
50,7,0.5664451827242525,0.5,-0.06644518272425248
50,8,0.4929078014184397,0.5,0.007092198581560294
50,9,0.48913043478260876,0.4929078014184397,0.0037773666358309477
50,10,0.48913043478260876,,
50,11,0.4929078014184397,,
50,12,0.5,,
50,13,0.4929078014184397,0.5,0.007092198581560294
50,14,0.5644444444444444,0.5,-0.06444444444444442
50,15,0.5,0.5,0.0
50,16,0.5,,
50,17,0.2733333333333333,,
50,18,0.688888888888889,0.5,-0.188888888888889
50,19,,,
50,20,0.4929078014184397,,
50,21,0.4929078014184397,0.5,0.007092198581560294
50,22,0.5,,
50,23,0.4929078014184397,0.5,0.007092198581560294
50,24,0.48913043478260876,0.5,0.010869565217391242
50,25,0.6444444444444445,,
50,26,,,
50,27,,,
50,28,0.5,,
50,29,0.48913043478260876,0.5,0.010869565217391242
50,30,0.4929078014184397,,
100,1,0.8778998778998779,0.796875,-0.08102487789987789
100,2,0.7411347517730497,0.3469387755102041,-0.3941959762628456
100,3,0.3676975945017182,,
100,4,0.8011111111111111,,
100,5,0.8433333333333334,,
100,6,0.7358156028368794,0.8571428571428571,0.12132725430597768
100,7,0.928421052631579,0.11224489795918369,-0.8161761546723953
100,8,0.968421052631579,,
100,9,0.10714285714285715,,
100,10,0.8316151202749141,0.8694158075601375,0.037800687285223344
100,11,0.911578947368421,0.7895545314900153,-0.12202441587840573
100,12,0.7912087912087912,,
100,13,0.6673684210526316,,
100,14,0.8079877112135175,0.9828178694158075,0.17483015820228998
100,15,0.8905263157894736,0.9389473684210525,0.04842105263157892
100,16,0.8297872340425532,0.7040816326530612,-0.12570560138949194
100,17,0.9375,,
100,18,0.8876678876678876,0.6219931271477663,-0.2656747605201213
100,19,0.6015625,0.826530612244898,0.224968112244898
100,20,0.8378947368421052,0.7653061224489797,-0.07258861439312558
100,21,0.8600543478260869,0.9336734693877551,0.07361912156166817
100,22,0.8463157894736844,0.5663265306122449,-0.27998925886143944
100,23,0.7464539007092199,0.35677083333333337,-0.38968306737588654
100,24,0.7265625,0.8831615120274914,0.15659901202749138
100,25,0.7056737588652482,,
100,26,0.8233486943164363,0.7193877551020408,-0.10396093921439553
100,27,0.6021052631578948,0.22448979591836737,-0.37761546723952744
100,28,0.6875,0.7448979591836734,0.05739795918367341
100,29,0.7903780068728522,0.7766323024054982,-0.013745704467354014
100,30,0.7557894736842106,0.7010526315789474,-0.054736842105263195
150,1,0.6241197183098591,0.6868965517241379,0.06277683341427875
150,2,0.7872127872127872,0.7186206896551725,-0.06859209755761475
150,3,0.755281690140845,0.5736301369863014,-0.18165155315454362
150,4,0.8157142857142857,0.7737676056338028,-0.04194668008048297
150,5,0.900462962962963,,
150,6,0.8731268731268731,0.8553240740740741,-0.017802799052799023
150,7,0.8758802816901409,0.9290540540540541,0.053173772363913185
150,8,0.888888888888889,,
150,9,0.7812187812187812,0.8644366197183099,0.08321783849952868
150,10,0.885114885114885,0.4149659863945578,-0.4701488987203272
150,11,0.7974783293932229,0.655328798185941,-0.1421495312072819
150,12,0.835,0.8865740740740742,0.051574074074074217
150,13,0.8714285714285714,0.9023972602739725,0.03096868884540105
150,14,0.7482394366197183,0.7346938775510203,-0.013545559068697921
150,15,0.9225352112676056,0.48986486486486486,-0.43267034640274077
150,16,0.8185714285714286,,
150,17,0.5914351851851851,0.9178240740740741,0.32638888888888895
150,18,0.8985507246376812,0.7398648648648649,-0.15868585977281624
150,19,0.8266908212560387,0.5,-0.32669082125603865
150,20,0.9157142857142857,0.8684807256235828,-0.0472335600907029
150,21,0.8561151079136691,0.970890410958904,0.11477530304523498
150,22,0.9525462962962963,1.0,0.04745370370370372
150,23,0.8364944408109876,0.6262068965517241,-0.21028754425926344
150,24,0.8283450704225352,0.8386206896551724,0.010275619232637201
150,25,0.8642857142857143,0.5101351351351351,-0.35415057915057924
150,26,0.6951724137931035,0.7732267732267732,0.07805435943366978
150,27,0.8785211267605635,0.4413793103448276,-0.4371418164157359
