env,model_i,model_j,diff_mean(AUROC_i - AUROC_j),ci_lo,ci_hi,significant(CI_excludes_0)
FULL,LogReg_L2,RF_500,-0.0012763860484152553,-0.003650006875876491,9.61521933956156e-05,False
FULL,LogReg_L2,ExtraTrees_800,-0.0007645634139508832,-0.0025295779219718373,0.00028461448700958515,False
FULL,LogReg_L2,MLP_256x128,-0.001941171192638025,-0.0042102889581219025,-0.00025483682337924216,True
FULL,LogReg_L2,XGB_600,-0.0008531112394481402,-0.0031350063741856864,0.0006168082785024676,False
FULL,RF_500,ExtraTrees_800,0.0005081366775197839,-6.0605621936743445e-06,0.0012111941976964554,False
FULL,RF_500,MLP_256x128,-0.0006625256710218846,-0.0021257403642745533,0.00069600864886617,False
FULL,RF_500,XGB_600,0.0003936378007225735,-0.0006986615798191403,0.0019448083461762965,False
FULL,ExtraTrees_800,MLP_256x128,-0.0011295155328271554,-0.002807946347857604,0.00017149133166847742,False
FULL,ExtraTrees_800,XGB_600,-0.00011365695368953512,-0.0011819708948315438,0.0010945699372059972,False
FULL,MLP_256x128,XGB_600,0.0010314855566844706,-0.0007441410385898795,0.0035511556938678506,False
